company,notice_year,notice_month,layoffs
3 Day Blinds Corp.,2020,4,283
Abercrombie & Fitch Co.,2020,4,774
Abercrombie & Fitch Co.,2020,6,56
Abercrombie & Fitch Co.,2020,11,40
Abercrombie & Fitch Co.,2020,12,29
Ace Hardware Corp.,2021,10,362
"Advance Auto Parts, Inc.",2020,6,94
Al-Pack Holdings Ltd.,2020,3,180
"Albertsons Cos., Inc.",2021,1,67
"Alko Distributors, Inc.",2020,3,26
"Altman Specialty Plants, Inc.",2020,5,99
"Amazon.com, Inc.",2021,4,156
"Amazon.com, Inc.",2022,4,168
"Amazon.com, Inc.",2022,5,128
"Amazon.com, Inc.",2022,8,3530
America's Kids LLC,2020,3,63
American Auto Auction Group LLC,2020,3,183
"American Eagle Outfitters, Inc.",2020,4,94
American Hotel Register Co.,2020,9,313
Americo Industries Ltd.,2020,4,69
Americo Industries Ltd.,2022,7,550
Applegreen Plc,2022,4,114
Applegreen Plc,2022,5,35
Arizona Nutritional Supplements LLC,2020,5,68
"Asbury Automotive Group, Inc.",2020,4,1132
Autogrill SpA,2020,3,3067
Autogrill SpA,2020,6,807
Autogrill SpA,2020,8,6648
Autogrill SpA,2020,10,3
"B&R Stores, Inc.",2020,1,96
BIC Graphic North America,2020,4,327
BW Gas & Convenience Holdings LLC,2020,7,38
"Barnes & Noble Education, Inc.",2020,4,57
"Barneys New York, Inc.",2020,2,23
"Barneys New York, Inc.",2020,4,6
"Beavers Toyota of Sante Fe, Inc.",2020,5,82
"Bed Bath & Beyond, Inc.",2020,3,58
"Bed Bath & Beyond, Inc.",2020,4,2771
"Bed Bath & Beyond, Inc.",2020,5,95
"Bed Bath & Beyond, Inc.",2020,6,423
"Bed Bath & Beyond, Inc.",2020,11,27
"Bed Bath & Beyond, Inc.",2021,12,210
Belcampo Meat Co. LLC,2021,10,120
"Belk, Inc.",2020,1,68
"Best Buy Co., Inc.",2020,4,147
"Best Buy Co., Inc.",2021,8,194
Big Dot of Happiness LLC,2020,3,57
Bliffert Lumber & Fuel Co.,2020,3,33
Bob's Discount Furniture LLC,2020,4,76
Boise Cascade Co.,2020,4,10
Boise Cascade Co.,2020,11,229
Boomin Industries,2020,4,22
"Brandless, Inc.",2020,2,78
"CE Rental, Inc.",2020,3,65
"CR Clicks Ecomm, Inc.",2020,5,13
"CSC Generation, Inc.",2020,4,16
CVS Health Corp.,2020,7,74
"Caleres, Inc.",2020,3,199
"Caleres, Inc.",2020,4,368
"Camp NYC, Inc.",2020,4,91
Cardenas Markets LLC,2021,2,97
"Cardone Industries, Inc.",2020,4,183
Carvana Co.,2021,10,112
Carvana Co.,2022,2,59
Carvana Co.,2022,5,210
"Center Automotive, Inc.",2020,3,56
Century West BMW,2020,4,105
"Chef Works, Inc.",2020,4,143
Citizens of Humanity LLC,2020,3,186
"Claire's, Inc.",2020,4,14
Compass Group Plc (1161594),2020,3,42
"Copart, Inc.",2020,4,50
"Copart, Inc.",2020,5,44
"Copart, Inc.",2020,6,72
"Creative Bus Sales, Inc.",2020,3,37
"Curative, Inc.",2021,3,554
"Curology, Inc.",2022,3,130
DTI Management LLC,2020,4,70
"Dailylook, Inc.",2022,6,880
Dayton Superior Corp.,2020,2,91
De Rigo SpA,2020,4,86
"Designer Brands, Inc.",2021,1,92
Destination Maternity Corp.,2020,6,111
"Destination XL Group, Inc.",2020,3,395
"Dick's Sporting Goods, Inc.",2020,4,65
"Dillard's, Inc.",2020,5,90
"Dillard's, Inc.",2022,5,81
Diploma Holdings Plc (20953809),2020,3,65
Discount Dance LLC,2020,3,108
"Dolls Kill, Inc.",2020,3,78
"Dolls Kill, Inc.",2020,6,11
"DriveTime Automotive Group, Inc.",2020,3,181
Dufry AG,2020,7,172
Dufry AG,2020,8,48
Dufry AG,2020,9,89
EV Cargo UK Ltd.,2020,3,110
"Earth Fare, Inc.",2020,2,1017
"Easy Gardener Products, Inc.",2020,4,50
Edg Nederland Holding BV,2020,1,116
Elliott Capital Advisors LP,2020,6,64
"Evans Manufacturing, Inc.",2020,3,73
Evergreen Goodwill of Northwest Washinton,2020,4,2192
"FAST RETAILING CO., LTD.",2021,7,53
"Fairn & Swanson, Inc.",2020,5,49
"Fanatics, Inc.",2020,10,97
"Farmgirl Flowers, Inc.",2021,6,
"Farmgirl Flowers, Inc.",2021,7,72
"FemTec Health, Inc.",2020,1,44
Finchey Corp. of California,2020,4,59
Fleet Farm E-Commerce Enterprises LLC,2020,11,42
Foodland Super Market Ltd.,2022,3,52
"Foot Locker, Inc.",2020,4,370
"Foot Locker, Inc.",2020,5,366
"Fordham Auto Sales, Inc.",2020,4,74
"Forever 21, Inc.",2020,2,93
"Forever 21, Inc.",2020,3,347
Forty Five Ten Retail LLC,2020,4,44
Francesca's Holdings Corp.,2020,12,223
"Fry's Electronics, Inc.",2020,4,72
"Fry's Electronics, Inc.",2021,2,148
G A S K Holdings Ltd.,2020,4,114
"Galpin Motors, Inc.",2020,3,512
"Galpin Motors, Inc.",2020,4,69
"Galpin Motors, Inc.",2020,8,51
"Gap, Inc.",2020,5,365
"Gap, Inc.",2020,8,79
"Garten,Inc.",2020,4,401
Genuine Parts Co.,2020,6,70
"Glossier, Inc.",2020,5,136
"Glossier, Inc.",2020,8,46
"Group 1 Automotive, Inc.",2020,4,95
"Groupon, Inc.",2020,4,376
"Groupon, Inc.",2022,8,2930
"Guess?, Inc.",2020,4,695
"Guess?, Inc.",2020,6,159
H&M Hennes & Mauritz AB,2020,4,15
"HIM International Music, Inc.",2020,3,61
"Haverty Furniture Cos., Inc.",2020,4,57
